,Text,Platform,Timestamp,Sentiment
0, Enjoying a beautiful day at the park!              , Twitter  ,2023-01-15 12:30:00, Positive  
1, Traffic was terrible this morning.                 , Twitter  ,2023-01-15 08:45:00, Negative  
2, Just finished an amazing workout! 💪               , Instagram ,2023-01-15 15:45:00, Positive  
3, Excited about the upcoming weekend getaway!        , Facebook ,2023-01-15 18:20:00, Positive  
4, Trying out a new recipe for dinner tonight.        , Instagram ,2023-01-15 19:55:00, Neutral   
5, Feeling grateful for the little things in life.    , Twitter  ,2023-01-16 09:10:00, Positive  
6, Rainy days call for cozy blankets and hot cocoa.   , Facebook ,2023-01-16 14:45:00, Positive  
7, The new movie release is a must-watch!             , Instagram ,2023-01-16 19:30:00, Positive  
8, Political discussions heating up on the timeline.  , Twitter  ,2023-01-17 08:00:00, Negative  
9, Missing summer vibes and beach days.               , Facebook ,2023-01-17 12:20:00, Neutral   
10, Just published a new blog post. Check it out!      , Instagram ,2023-01-17 15:15:00, Positive  
11, Feeling a bit under the weather today.             , Twitter  ,2023-01-18 10:30:00, Negative  
12, Exploring the city's hidden gems.                  , Facebook ,2023-01-18 14:50:00, Positive  
13," New year, new fitness goals! 💪                    ", Instagram ,2023-01-18 18:00:00, Positive  
14, Technology is changing the way we live.            , Twitter  ,2023-01-19 09:45:00, Neutral   
15, Reflecting on the past and looking ahead.          , Facebook ,2023-01-19 13:20:00, Positive  
16, Just adopted a cute furry friend! 🐾              , Instagram ,2023-01-19 17:10:00, Positive  
17, Late-night gaming session with friends.            , Twitter  ,2023-01-20 00:05:00, Positive  
18, Attending a virtual conference on AI.              , Facebook ,2023-01-20 11:30:00, Neutral   
19, Winter blues got me feeling low.                   , Instagram ,2023-01-20 15:15:00, Negative  
20, Sipping coffee and enjoying a good book.           , Twitter  ,2023-01-21 08:40:00, Positive  
21, Exploring the world of virtual reality.            , Facebook ,2023-01-21 13:20:00, Positive  
22, Productive day ticking off my to-do list.          , Instagram ,2023-01-21 16:45:00, Positive  
23, Just finished a challenging workout routine.       , Twitter  ,2023-01-22 09:15:00, Positive  
24, Celebrating a milestone at work! 🎉               , Facebook ,2023-01-22 14:30:00, Positive  
25, Sunday brunch with friends.                        , Instagram ,2023-01-22 12:00:00, Positive  
26, Learning a new language for personal growth.       , Facebook ,2023-01-23 16:20:00, Positive  
27, Quiet evening with a good book.                    , Instagram ,2023-01-23 19:45:00, Positive  
28, Reflecting on the importance of mental health.     , Twitter  ,2023-01-24 11:30:00, Positive  
29, New painting in progress! 🎨                       , Facebook ,2023-01-24 15:00:00, Positive  
30, Weekend road trip to explore scenic views.         , Instagram ,2023-01-24 17:30:00, Positive  
31, Enjoying a cup of tea and watching the sunset.     , Twitter  ,2023-01-25 18:00:00, Positive  
32, Coding a new project with enthusiasm.              , Facebook ,2023-01-25 13:15:00, Positive  
33, Feeling inspired after attending a workshop.       , Instagram ,2023-01-26 09:45:00, Positive  
34, Winter sports day at the local park.               , Twitter  ,2023-01-26 14:20:00, Positive  
35, Quality time with family this weekend.             , Facebook ,2023-01-26 17:40:00, Positive  
36, Attending a live music concert tonight.            , Instagram ,2023-01-27 20:00:00, Positive  
37, Practicing mindfulness with meditation.            , Twitter  ,2023-01-27 12:30:00, Positive  
38, Trying out a new dessert recipe.                   , Facebook ,2023-01-27 16:10:00, Positive  
39, Excited about the upcoming gaming tournament.      , Instagram ,2023-01-28 09:00:00, Positive  
40, Planning a garden makeover for spring.             , Twitter  ,2023-01-28 14:45:00, Positive  
41, Celebrating a friend's birthday tonight! 🎂       , Facebook ,2023-01-28 19:30:00, Positive  
42, Feeling accomplished after a productive day.       , Instagram ,2023-01-29 17:00:00, Positive  
