,Text,Sentiment,target
0, Enjoying a beautiful day at the park!              ,Positive,Positive
1, Traffic was terrible this morning.                 ,Negative,Negative
2, Just finished an amazing workout! 💪               ,Positive,Positive
3, Excited about the upcoming weekend getaway!        ,Positive,Positive
4, Trying out a new recipe for dinner tonight.        ,Neutral,Neutral
5, Feeling grateful for the little things in life.    ,Positive,Positive
6, Rainy days call for cozy blankets and hot cocoa.   ,Positive,Positive
7, The new movie release is a must-watch!             ,Positive,Positive
8, Political discussions heating up on the timeline.  ,Negative,Negative
9, Missing summer vibes and beach days.               ,Neutral,Neutral
10, Just published a new blog post. Check it out!      ,Positive,Positive
11, Feeling a bit under the weather today.             ,Negative,Negative
12, Exploring the city's hidden gems.                  ,Positive,Positive
13," New year, new fitness goals! 💪                    ",Positive,Positive
14, Technology is changing the way we live.            ,Neutral,Neutral
15, Reflecting on the past and looking ahead.          ,Positive,Positive
16, Just adopted a cute furry friend! 🐾              ,Positive,Positive
17, Late-night gaming session with friends.            ,Positive,Positive
18, Attending a virtual conference on AI.              ,Neutral,Neutral
19, Winter blues got me feeling low.                   ,Negative,Negative
20, Sipping coffee and enjoying a good book.           ,Positive,Positive
21, Exploring the world of virtual reality.            ,Positive,Positive
22, Productive day ticking off my to-do list.          ,Positive,Positive
23, Just finished a challenging workout routine.       ,Positive,Positive
24, Celebrating a milestone at work! 🎉               ,Positive,Positive
25, Sunday brunch with friends.                        ,Positive,Positive
26, Learning a new language for personal growth.       ,Positive,Positive
27, Quiet evening with a good book.                    ,Positive,Positive
28, Reflecting on the importance of mental health.     ,Positive,Positive
29, New painting in progress! 🎨                       ,Positive,Positive
30, Weekend road trip to explore scenic views.         ,Positive,Positive
31, Enjoying a cup of tea and watching the sunset.     ,Positive,Positive
32, Coding a new project with enthusiasm.              ,Positive,Positive
33, Feeling inspired after attending a workshop.       ,Positive,Positive
34, Winter sports day at the local park.               ,Positive,Positive
35, Quality time with family this weekend.             ,Positive,Positive
36, Attending a live music concert tonight.            ,Positive,Positive
37, Practicing mindfulness with meditation.            ,Positive,Positive
38, Trying out a new dessert recipe.                   ,Positive,Positive
39, Excited about the upcoming gaming tournament.      ,Positive,Positive
40, Planning a garden makeover for spring.             ,Positive,Positive
41, Celebrating a friend's birthday tonight! 🎂       ,Positive,Positive
42, Feeling accomplished after a productive day.       ,Positive,Positive
43, A cozy evening with a good movie.                 ,Positive,Positive
44, Exploring local art galleries this weekend.        ,Positive,Positive
45, New book release from my favorite author!          ,Positive,Positive
46, Attending a virtual reality meetup.                ,Positive,Positive
47, Reflecting on the beauty of nature.                ,Positive,Positive
48, Cooking a special dinner for loved ones.           ,Positive,Positive
49, Feeling optimistic about the week ahead.           ,Positive,Positive
50, Starting a new fitness challenge tomorrow! 💪     ,Positive,Positive
51, Sunday bike ride through scenic trails.           ,Positive,Positive
52, Can't believe the injustice happening in our society.,Anger,Negative
53, Feeling a sense of fear after watching a thriller movie. ,Fear,Negative
54, Heartbroken after hearing the news about a natural disaster. ,Sadness,Negative
